
Layout,Layout Vertical,垂直结构,垂直布局,标签在上输入框在下的垂直布局,High
Layout,Layout Horizontal,水平结构,水平布局,标签在左输入框在右的水平布局,High
Layout,Vertical Label Position,top,垂直标签位置,垂直结构标签在顶部,High
Layout,Horizontal Label Position,left,水平标签位置,水平结构标签在左侧,High
Layout,Vertical Gap,4px,垂直间距,垂直结构标签与输入框间距4px,Medium
Layout,Horizontal Gap,8px,水平间距,水平结构标签与输入框间距8px,Medium
Label,Label Font Size,14px,标签字号,标签文字字号14px,High
Label,Label Color,#1D2129,标签颜色,标签深色文字#1D2129,High
Label,Label Font Weight,400,标签字重,标签常规字重,Medium
Label,Label Line Height,22px,标签行高,标签行高22px,Medium
Label,Label Required,*,必填标记,必填项显示红色星号,High
Label,Label Required Color,#F53F3F,必填标记颜色,必填星号红色#F53F3F,High
Label,Label Required Position,after,必填标记位置,必填星号在标签后,Medium
Label,Label Colon,:,标签冒号,水平布局标签后显示冒号,Medium
Label,Label Width,auto,标签宽度,标签宽度自适应,Medium
Label,Label Text Align,right,标签对齐,水平布局标签右对齐,Medium
SelectorLabel,Selector Label Text,基础时间选择,选择器标签文字,时间选择器标签示例文字,Medium
SelectorLabel,Selector Label Vertical,基础时间选择,垂直标签文字,垂直结构标签文字,Medium
SelectorLabel,Selector Label Horizontal,时间选择,水平标签文字,水平结构标签文字,Medium
RangeLabel,Range Label Text,基础时间区间,范围标签文字,范围选择器标签示例文字,Medium
RangeLabel,Range Label Vertical,基础时间区间,垂直范围标签,垂直结构范围标签文字,Medium
RangeLabel,Range Label Horizontal,基础时间区间,水平范围标签,水平结构范围标签文字,Medium
RangeSelector,Range Selector Layout,flex,范围选择器布局,范围选择器flex布局,High
RangeSelector,Range Selector Align,center,范围选择器对齐,范围选择器垂直居中,Medium
RangeSelector,Range Start Input,开始时间,开始输入框,范围选择开始时间输入框,High
RangeSelector,Range End Input,结束时间,结束输入框,范围选择结束时间输入框,High
RangeSelector,Range Separator Icon,SwapRightOutlined,范围分隔图标,范围选择器箭头分隔图标,Medium
RangeSelector,Range Separator Text,~,范围分隔文字,范围选择器波浪线分隔,High
RangeSelector,Range Separator Margin,0 8px,范围分隔间距,分隔符左右间距8px,Medium
RangeSelector,Range Input Placeholder Start,开始时间,开始占位符,开始时间输入框占位符,High
RangeSelector,Range Input Placeholder End,结束时间,结束占位符,结束时间输入框占位符,High
RangeSelector,Range Combined Border,1px solid #E5E6EB,组合边框,范围选择器组合边框,Medium
RangeSelector,Range Combined Border Radius,2px,组合圆角,范围选择器组合圆角2px,Medium
RangeSelector,Range Combined Background,#FFFFFF,组合背景,范围选择器组合白色背景,Medium
RangePanel,Range Panel Title Start,开始时间,开始面板标题,范围面板开始时间标题,Medium
RangePanel,Range Panel Title End,结束时间,结束面板标题,范围面板结束时间标题,Medium
RangePanel,Range Panel Divider,1px solid #E5E6EB,面板分隔线,范围面板中间分隔线,Medium
RangePanel,Range Panel Divider Height,100%,分隔线高度,分隔线高度100%,Medium
RangePanel,Range Panel Width,400px,范围面板宽度,范围面板总宽度400px,Medium
RangePanel,Range Panel Single Width,200px,单面板宽度,范围面板单侧宽度200px,Medium
RangePanel,Range Active Panel,start/end,激活面板,当前激活的面板start或end,Medium
RangePanel,Range Active Highlight,#E8F3FF,激活高亮,激活面板输入框高亮背景,Medium
PanelHeader,Panel Header Show,true,显示面板头部,面板头部显示开关,Medium
PanelHeader,Panel Header Text,时间选择,面板头部文字,面板头部标题文字,Medium
PanelHeader,Panel Header Height,32px,面板头部高度,面板头部高度32px,Medium
PanelHeader,Panel Header Font Size,14px,面板头部字号,面板头部字号14px,Medium
PanelHeader,Panel Header Color,#1D2129,面板头部颜色,面板头部深色文字,Medium
PanelHeader,Panel Header Background,#F7F8FA,面板头部背景,面板头部浅灰背景,Medium
PanelHeader,Panel Header Border Bottom,1px solid #E5E6EB,面板头部底边框,面板头部底部分隔线,Medium
ColumnHeader,Column Header Show,false,显示列头部,时间列头部显示开关默认关闭,Low
ColumnHeader,Column Header Text Hour,时,小时列头部,小时列头部文字,Low
ColumnHeader,Column Header Text Minute,分,分钟列头部,分钟列头部文字,Low
ColumnHeader,Column Header Text Second,秒,秒钟列头部,秒钟列头部文字,Low
ColumnHeader,Column Header Height,28px,列头部高度,列头部高度28px,Low
ColumnHeader,Column Header Font Size,12px,列头部字号,列头部字号12px,Low
ColumnHeader,Column Header Color,#86909C,列头部颜色,列头部灰色文字,Low
ColumnHeader,Column Header Background,#F7F8FA,列头部背景,列头部浅灰背景,Low
TimeValue,Time Value Format,00,时间值格式,时间值两位数格式如01 02,High
TimeValue,Time Value Hour Range,0-23,小时值范围,小时值范围0到23,High
TimeValue,Time Value Minute Range,0-59,分钟值范围,分钟值范围0到59,High
TimeValue,Time Value Second Range,0-59,秒钟值范围,秒钟值范围0到59,High
TimeValue,Time Value Display,两位数,时间值显示,时间值显示为两位数如01,High
TimeValue,Time Value Padding,0,时间值补零,时间值不足两位前补0,High
Interaction,Click Select,true,点击选择,点击时间项选择时间,High
Interaction,Scroll Select,true,滚动选择,滚动时间列选择时间,High
Interaction,Input Direct,true,直接输入,支持直接在输入框输入时间,High
Interaction,Panel Auto Close,false,面板自动关闭,选择后面板不自动关闭需点确认,High
Interaction,Confirm Required,true,需要确认,选择时间后需点击确认按钮,High
Interaction,Cancel Reset,true,取消重置,点击取消重置为原值,Medium
Interaction,Click Outside Close,true,点击外部关闭,点击面板外部关闭面板,High
Interaction,Esc Close,true,ESC关闭,按ESC键关闭面板,High
Annotation,Annotation Position,left,标注位置,标注信息在左侧,Low
Annotation,Annotation Arrow,true,标注箭头,标注带箭头指向,Low
Annotation,Annotation Background,#FFF7E8,标注背景,标注橙色浅背景,Low
Annotation,Annotation Border,1px solid #FFCF8B,标注边框,标注橙色边框,Low
Annotation,Annotation Text Color,#1D2129,标注文字颜色,标注深色文字,Low
Annotation,Annotation Font Size,12px,标注字号,标注字号12px,Low
Spacing,Spacing Label Input,4px,标签输入间距,标签与输入框间距4px,Medium
Spacing,Spacing Input Panel,4px,输入面板间距,输入框与面板间距4px,Medium
Spacing,Spacing Panel Footer,0,面板页脚间距,面板内容与页脚间距0,Medium
Spacing,Spacing Column Item,0,列项间距,时间项之间间距0,Medium
Spacing,Spacing Footer Button,8px,页脚按钮间距,页脚按钮之间间距8px,Medium
Validation,Validation Trigger,blur,验证触发,失焦时触发验证,High
Validation,Validation Error Border,1px solid #F53F3F,验证错误边框,验证错误红色边框,High
Validation,Validation Error Message Position,bottom,错误信息位置,错误信息在输入框下方,Medium
Validation,Validation Error Message Color,#F53F3F,错误信息颜色,错误信息红色文字,High
Validation,Validation Error Message Font Size,12px,错误信息字号,错误信息字号12px,Medium
Validation,Validation Error Message Margin Top,4px,错误信息顶部间距,错误信息与输入框间距4px,Medium
Validation,Validation Range Start End,true,范围开始结束验证,验证结束时间大于开始时间,High
API,API Value,string/Date,值类型,时间值类型字符串或Date对象,High
API,API Default Value,undefined,默认值,默认值未定义,Medium
API,API Format,HH:mm:ss,格式化,时间格式化字符串,High
API,API Disabled,false,禁用,是否禁用时间选择器,High
API,API Readonly,false,只读,是否只读,Medium
API,API Clearable,true,可清除,是否显示清除按钮,High
API,API Placeholder,请选择时间,占位符,输入框占位符文字,High
API,API Size,default,尺寸,时间选择器尺寸large/default/small,High
API,API Hour Step,1,小时步长,小时选择步长,Medium
API,API Minute Step,1,分钟步长,分钟选择步长,Medium
API,API Second Step,1,秒钟步长,秒钟选择步长,Medium
API,API Disabled Hours,function,禁用小时,返回禁用小时数组的函数,Medium
API,API Disabled Minutes,function,禁用分钟,返回禁用分钟数组的函数,Medium
API,API Disabled Seconds,function,禁用秒钟,返回禁用秒钟数组的函数,Medium
